MANDT;SPRAS;BRSCH;BRTXT
100;SL;25;Dobav. gradb. mater.
100;SL;26;Papir in papir. kaša
100;SL;27;Les in infrastrukt.
100;SL;31;Predilnica, tkalnica
100;SL;32;Oblačila
100;SL;41;Železo in jeklo
100;SL;42;Vozila
100;SL;43;Dobavitelj vozil
100;SL;44;Strojništvo
100;SL;45;Specialno strojniš.
100;SL;46;Gradnja stroj.orodja
100;SL;47;Konstrukcija letala
100;SL;51;Pivovarne, pijače
100;SL;52;Prehrana
100;SL;61;El.naprave/elektrot.
100;SL;62;Račun. in obdel.pod.
100;SL;63;Programska oprema
100;SL;64;Telekomunikacije
100;SL;71;Potrošne dobrine
100;SL;72;Promet in transport
100;SL;73;Prosti čas in hotel
100;SL;81;Poslovne banke
100;SL;82;Hipotekarne banke
100;SL;83;Življenjska zavarov.
100;SL;84;Druga zav.,raz.živl.
100;SL;85;Pozavarovanja
100;SL;86;Zavarovalni holdingi
100;SL;91;Trgovanje
100;SL;92;Trgov.s farm.izdelki
100;SL;93;Založniš. in mediji
100;SL;94;Okolje
100;SL;99;Razno
100;HR;0001;Standardna IndGrana
100;HR;0002;Industrija 0002
100;HR;0003;Industrija 0003
100;HR;01;Raznovrsni holding
100;HR;02;Financijske usluge
100;HR;03;Nekretnine
100;HR;10;Opskrba/distribEnerg
100;HR;11;Nafta, plin
100;HR;12;Sirovine
100;HR;13;Plemeniti metali
100;HR;21;Kemijska industrija
100;HR;22;Zdravlje
100;HR;23;Staklo
100;HR;24;Građevinarstvo
100;HR;25;Građevinski mater.
100;HR;26;Papir i celuloza
100;HR;27;DrvGrađa i infrastr.
100;HR;31;Predionica, tkaonica
100;HR;32;Odjeća
100;HR;41;Željezo i čelik
100;HR;42;Vozila
100;HR;43;Dobavljač vozila
100;HR;44;Strojarstvo
100;HR;45;SpecijalizirMehanika
100;HR;46;IndustrAlatnihStroj
100;HR;47;Avioindustrija
100;HR;51;Pivovare, pića
100;HR;52;Prehrana
100;HR;61;Elektrika/elektron.
100;HR;62;Računala i ObradaPod
100;HR;63;Softver
100;HR;64;Telekomunikacije
100;HR;71;Roba široke potroš.
100;HR;72;Promet i transport
100;HR;73;Odmor i hotel
100;HR;81;Komercijalne banke
100;HR;82;Hipotekarne banke
100;HR;83;Životna osiguranja
100;HR;84;Neživotna osiguranja
100;HR;85;Reosiguranja
100;HR;86;Holdinzi osiguranja
100;HR;91;Trgovanje
100;HR;92;Farmaceutika
100;HR;93;Nakladn. i mediji
100;HR;94;Okolina
100;HR;99;Razno
100;MS;0001;Industri Piawai
100;MS;0002;Industri 0002
100;MS;0003;Industri 0003
100;MS;01;Kplbagaian Pegangan
100;MS;02;Perkhidmatan Kwngan
100;MS;03;Harta Tanah
100;MS;10;Bkln Teng / Pengaghn
100;MS;11;Minyak, Gas
100;MS;12;Bahan Mentah
100;MS;13;Logam Berharga
100;MS;21;Industri Kimia
100;MS;22;Kesihatan
100;MS;23;Kaca
100;MS;24;Industri Pembinaan
100;MS;25;Pembekal Bangunan
100;MS;26;Kertas dan Pulpa
100;MS;27;Kayu dan Infrastrukt
100;MS;31;Klg Pemintaln, Tnuna
100;MS;32;Pakaian
100;MS;41;Besi dan Keluli
100;MS;42;Kenderaan
100;MS;43;Pembekal Kenderaan
100;MS;44;Kjurutraan Mekanikal
100;MS;45;Mekanik Khusus
100;MS;46;Enjin Alat Mesin
100;MS;47;Pembinaan Pesawat
100;MS;51;Kilang Bir, Minuman
100;MS;52;Nutrisi
100;MS;61;Elektrik / Elektronk
100;MS;62;Komp dn Pmprssn Dta
100;MS;63;Perisian
100;MS;64;Telekomunikasi
100;MS;71;Produk Pengguna
100;MS;72;Trafik dn Pengangktn
100;MS;73;Senggang dan Hotel
100;MS;81;Bank Komersial
100;MS;82;Bank Gadai Janji
100;MS;83;Insurans Nyawa
100;MS;84;Bukan Insurns Nyawa
100;MS;85;Insurans semula
